Data1,Data2,Output
-0.16,-0.11,1
-0.42,0.82,0
0.36,-0.14,1
-0.27,-1.16,0
0.23,-0.36,1
-0.30,-0.24,1
0.74,0.84,0
0.61,0.75,0
0.20,-0.25,1
-0.28,-0.19,1
-0.10,-1.08,0
0.03,-0.62,1
0.44,0.01,1
-0.31,-0.18,1
0.30,-0.15,1
0.55,-0.77,0
0.01,-0.32,1
-0.15,-0.58,1
-0.42,0.96,0
-1.19,-0.11,0
-0.18,-0.28,1
-0.80,0.12,0
0.42,-0.85,0
-0.06,-0.67,1
-0.37,0.29,1
0.38,0.18,1
0.04,-0.50,1
-0.03,-0.55,1
0.91,-0.28,0
0.40,-0.14,1
-0.47,0.20,1
-0.79,-0.52,0
0.37,0.03,1
0.32,0.12,1
-1.00,0.61,0
0.69,-0.53,0
0.09,0.11,1
-0.78,0.28,0
1.05,0.30,0
1.04,-0.02,0
-0.23,-0.21,1
0.20,-0.50,1
1.14,-0.27,0
0.14,-0.32,1
-0.26,-0.02,1
0.40,-0.08,1
0.26,-0.22,1
-0.02,0.45,1
0.23,-0.06,1
-0.04,0.35,1
-0.47,-0.85,0
-0.42,-0.16,1
-0.86,-0.66,0
-0.30,0.93,0
0.77,-0.65,0
0.40,0.15,1
0.39,0.09,1
0.81,-0.42,0
-0.55,0.86,0
-0.67,0.87,0
-0.13,0.40,1
-0.31,0.29,1
0.54,-0.14,1
0.63,-0.94,0
0.30,-0.30,1
0.31,-0.02,1
0.93,0.01,0
-0.61,0.73,0
0.77,0.75,0
0.91,0.37,0
-0.39,0.40,1
0.35,-0.17,1
-1.07,0.09,0
-0.41,-0.84,0
0.82,0.42,0
-0.82,-0.61,0
-0.39,0.10,1
0.30,-0.31,1
-0.36,-0.13,1
-0.33,0.49,1
-1.37,-0.04,0
1.03,0.10,0
-0.27,-1.01,0
-0.14,0.87,0
-0.06,0.50,1
1.00,-0.33,0
0.98,-0.45,0
0.23,0.27,1
-0.19,0.94,0
0.39,-0.92,0
0.60,0.84,0
-0.44,-0.31,1
0.28,-0.81,0
0.71,0.57,0
0.05,-0.63,1
-0.68,-0.59,0
-0.75,-0.69,0
0.05,-0.88,0
0.33,0.25,1
-0.98,0.51,0
-0.85,0.25,0
-0.36,0.19,1
-0.70,-0.69,0
0.18,-0.31,1
0.12,-0.02,1
-0.93,-0.33,0
0.57,-0.03,1
0.19,0.25,1
-0.51,0.77,0
1.00,0.38,0
0.47,0.12,1
-0.25,-0.47,1
0.33,-0.83,0
0.48,0.89,0
-0.49,0.16,1
-0.11,-0.41,1
-0.57,-0.73,0
0.66,-0.81,0
0.57,-0.76,0
0.80,0.35,0
-0.35,-0.18,1
-0.68,0.98,0
-1.20,0.05,0
0.35,-0.16,1
0.34,-0.21,1
0.32,0.99,0
-0.26,-0.32,1
-0.41,-0.03,1
0.20,1.00,0
1.00,0.16,0
0.18,0.35,1
-0.20,0.99,0
-0.49,1.09,0
0.49,0.17,1
0.05,0.96,0
-0.20,0.11,1
-0.41,0.90,0
0.24,0.94,0
0.10,0.35,1
0.09,-0.47,1
-0.10,-0.41,1
-0.46,-0.22,1
-0.09,0.44,1
-0.10,-0.44,1
0.08,-0.33,1
-0.67,0.88,0
1.06,-0.39,0
-0.39,-1.01,0
-0.09,-0.98,0
-0.45,0.92,0
0.86,0.02,0
0.24,0.17,1
-0.03,0.54,1
0.30,-0.96,0
0.04,-0.49,1
0.24,0.49,1
0.62,0.58,0
0.27,-0.27,1
-0.42,0.68,0
0.02,-0.47,1
1.04,-0.04,0
-0.72,1.00,0
-0.20,-0.10,1
0.54,-0.12,1
-0.97,-0.27,0
0.27,0.23,1
-0.19,-0.92,0
0.10,-0.15,1
0.01,0.96,0
-0.11,0.33,1
0.16,-0.29,1
-0.33,-0.04,1
-0.20,-0.36,1
0.98,-0.38,0
0.29,-0.47,1
-0.14,0.40,1
0.11,0.35,1
0.08,1.11,0
-0.45,0.14,1
-0.21,-0.47,1
0.32,0.94,0
-0.64,0.07,1
1.17,0.11,0
-0.42,-0.12,1
-0.57,-0.24,1
0.75,-0.44,0
-0.23,0.47,1
-0.45,-0.15,1
0.25,-0.34,1
-0.27,-0.25,1
-0.25,0.08,1
0.34,0.40,1
0.79,0.62,0
0.42,-0.10,1
0.52,-0.94,0
-0.38,-0.25,1
0.51,-0.95,0
-0.65,-0.63,0
0.93,-0.13,0
0.42,0.02,1
-0.32,0.08,1
-0.71,0.90,0
0.27,-0.21,1
1.03,-0.10,0
-0.98,0.22,0
-0.00,1.02,0
-0.96,-0.44,0
0.08,-0.99,0
-0.34,-0.32,1
0.14,0.34,1
0.75,0.70,0
0.97,0.20,0
-1.17,-0.13,0
-0.69,0.69,0
-0.81,0.61,0
0.57,-0.09,1
-0.66,-0.83,0
-0.93,-0.80,0
0.04,-0.34,1
0.38,-0.27,1
0.05,1.03,0
0.10,0.42,1
0.43,-0.23,1
-0.44,-0.82,0
0.03,0.38,1
-0.71,0.39,0
-0.00,0.57,1
0.02,1.00,0
0.07,-0.34,1
-0.51,-0.94,0
-0.78,-0.45,0
-0.32,-1.03,0
-0.37,0.15,1
0.38,0.78,0
-0.20,-0.46,1
0.42,0.80,0
-0.61,0.04,1
-0.56,-0.92,0
0.95,-0.13,0
0.33,-0.16,1
1.02,-0.18,0
0.00,-0.38,1
-0.00,0.96,0
0.78,-0.79,0
0.11,0.39,1
-1.06,-0.25,0
-0.74,-0.29,0
-0.02,-0.28,1
-0.33,0.06,1
-0.57,-0.88,0
-0.65,0.12,1
0.40,0.04,1
0.18,0.24,1
0.43,-0.07,1
0.09,0.27,1
0.03,-0.36,1
-0.44,0.38,1
-0.49,0.91,0
0.45,0.17,1
-0.63,0.00,1
0.25,-0.42,1
-0.31,-0.55,1
-1.27,0.25,0
0.69,0.64,0
-0.26,-0.99,0
-0.44,-0.04,1
-0.05,-0.27,1
0.46,0.78,0
0.80,0.41,0
-0.22,0.20,1
0.05,-0.47,1
-0.27,0.02,1
-0.74,-0.52,0
0.96,-0.12,0
-0.19,-0.90,0
0.03,-1.08,0
-0.42,0.27,1
0.10,0.29,1
1.07,0.10,0
-0.20,0.98,0
-0.63,0.79,0
-0.86,0.31,0
0.02,-0.28,1
0.42,-0.27,1
0.93,0.56,0
0.14,0.57,1
0.43,0.31,1
0.25,-0.26,1
-0.60,1.10,0
0.66,0.98,0
0.13,0.34,1
-0.11,-0.32,1
0.74,-0.63,0
0.34,0.21,1
0.36,-0.31,1
0.12,0.22,1
0.15,0.31,1
-0.87,0.28,0
0.38,0.25,1
-0.53,-0.11,1
0.08,1.24,0
0.12,0.41,1
0.36,0.08,1
-1.03,0.05,0
0.53,-0.92,0
0.20,0.25,1
0.42,0.20,1
-0.15,-0.47,1
0.08,0.49,1
0.00,-0.36,1
-0.62,-0.17,1
0.20,0.23,1
0.05,1.07,0
-0.15,-0.57,1
-0.39,-0.29,1
-0.98,-0.30,0
0.41,0.17,1
-0.15,-0.37,1
-0.25,0.42,1
-0.91,-0.49,0
-0.42,-0.01,1
-1.01,0.37,0
-1.05,0.53,0
0.21,0.42,1
0.84,0.80,0
0.45,0.94,0
0.10,0.55,1
-0.94,0.21,0
-0.38,0.22,1
0.34,-0.30,1
0.14,0.92,0
-0.19,-0.35,1
0.10,0.35,1
0.75,-0.09,0
-0.49,-0.89,0
0.08,-0.40,1
-0.62,0.86,0
-1.02,0.02,0
-0.07,-1.03,0
-0.20,-0.25,1
0.88,0.39,0
-0.38,0.77,0
-0.09,0.56,1
-0.23,-0.35,1
-0.41,0.15,1
-0.90,0.15,0
-0.48,0.09,1
-0.20,-0.47,1
-0.57,0.61,0
0.40,0.01,1
-0.04,0.41,1
0.80,0.60,0
0.90,0.42,0
0.74,-0.43,0
-0.37,-0.16,1
-0.10,0.49,1
0.91,0.41,0
0.77,0.11,0
0.99,-0.54,0
-0.44,0.30,1
-0.53,-0.79,0
-0.28,-0.30,1
0.87,0.29,0
-0.05,0.44,1
0.25,-0.25,1
0.54,-1.02,0
0.86,0.35,0
1.18,0.32,0
0.28,0.88,0
1.01,-0.28,0
-0.36,1.00,0
1.23,-0.01,0
-0.67,0.78,0
-0.42,-0.18,1
-0.35,-0.95,0
-0.15,0.31,1
0.52,-0.67,0
0.39,0.81,0
0.05,1.00,0
0.01,-0.31,1
0.14,0.13,1
0.39,0.23,1
-0.36,-0.35,1
-0.87,0.46,0
0.49,0.23,1
0.88,0.21,0
-0.20,0.41,1
-0.12,0.94,0
-0.46,0.01,1
-0.98,0.60,0
-0.35,0.90,0
-0.49,0.70,0
-0.17,-0.54,1
-0.27,0.28,1
0.75,-0.57,0
-0.92,-0.02,0
-0.66,-0.65,0
0.13,0.23,1
0.01,-1.10,0
-0.13,-0.40,1
0.32,0.10,1
0.22,-0.19,1
0.78,0.52,0
-0.65,-0.12,1
0.06,-0.28,1
-0.52,-0.19,1
-0.51,0.90,0
-0.11,0.32,1
0.93,-0.52,0
0.26,-1.03,0
-0.48,0.87,0
-0.89,-0.84,0
0.70,0.75,0
0.55,-0.79,0
0.71,-0.66,0
0.82,0.62,0
0.21,0.15,1
-0.42,0.06,1
0.95,-0.56,0
0.22,-0.18,1
0.97,0.48,0
0.18,0.97,0
0.48,-0.02,1
-0.16,1.06,0
-0.12,0.42,1
-0.25,0.85,0
-0.08,0.30,1
0.86,0.34,0
0.90,0.30,0
-0.43,0.87,0
-0.49,-0.75,0
-0.47,0.96,0
0.27,0.30,1
-0.01,-0.41,1
0.33,0.17,1
0.53,-0.03,1
-0.21,0.01,1
0.27,-0.38,1
-0.49,0.19,1
0.25,-0.21,1
0.48,-0.29,1
-0.71,0.84,0
-1.02,0.20,0
-0.14,-0.32,1
0.79,0.28,0
-0.97,-0.04,0
0.44,0.16,1
0.97,-0.29,0
-0.98,0.48,0
-0.53,-0.04,1
0.74,-0.81,0
-0.22,-0.26,1
0.01,-0.40,1
-0.35,-0.32,1
-0.93,-0.01,0
-0.10,-0.42,1
-0.98,0.32,0
-0.01,-0.98,0
0.51,-0.05,1
0.41,-0.12,1
0.33,0.07,1
-0.44,-0.01,1
0.04,1.14,0
-0.74,-0.79,0
0.29,-1.03,0
-0.12,0.29,1
-0.48,-0.82,0
-0.53,0.67,0
-0.25,-0.16,1
0.86,-0.36,0
1.09,-0.26,0
-0.43,1.08,0
-0.66,0.77,0
0.07,-0.22,1
0.42,0.02,1
-0.34,0.10,1
-0.21,-0.13,1
-0.69,-0.65,0
-0.25,0.15,1
0.74,0.68,0
0.29,-1.07,0
-0.66,-0.32,0
-0.03,0.98,0
0.34,0.00,1
0.41,-0.18,1
0.37,0.92,0
0.95,-0.28,0
0.36,0.11,1
0.29,1.02,0
-0.26,0.37,1
0.26,-0.32,1
-0.69,0.83,0
0.65,0.50,0
0.27,-0.49,1
0.03,-0.39,1
0.21,0.28,1
0.01,0.45,1
-1.00,-0.01,0
0.41,0.10,1
0.27,-0.94,0
-0.88,0.44,0
0.15,0.35,1
0.44,0.09,1
0.19,-0.36,1
0.28,-0.82,0
-0.37,-0.81,0
-0.94,0.15,0
-0.94,0.10,0
-0.01,-0.47,1
-0.14,1.08,0
-0.14,0.39,1
-0.61,0.00,1
0.37,-0.12,1
-0.64,0.48,0
1.07,-0.03,0
0.91,-0.36,0
-0.26,-0.26,1
-0.56,0.68,0
-1.01,-0.42,0
0.01,0.23,1
0.53,0.06,1
-0.90,0.48,0
-0.55,0.94,0
0.20,1.10,0
0.55,0.72,0
0.49,-0.75,0
0.36,0.34,1
-0.51,0.20,1
-0.22,-0.24,1
0.34,0.66,0
0.46,0.08,1
-0.72,-0.67,0
0.30,-0.21,1
0.55,0.79,0
0.35,0.31,1
0.81,0.46,0
-0.41,-0.00,1
0.39,-0.85,0
0.02,0.40,1
1.22,0.05,0
0.08,-1.15,0
0.26,-0.27,1
-0.12,-0.89,0
0.07,-0.99,0
1.12,0.07,0
0.16,-0.31,1
0.30,-0.87,0
0.21,0.25,1
1.24,-0.27,0
0.97,-0.17,0
1.10,-0.22,0
0.75,0.30,0
-0.27,-0.12,1
-0.33,0.12,1
0.43,0.19,1
-1.00,-0.43,0
-0.21,0.26,1
-0.88,-0.03,0
-0.60,0.80,0
-0.27,0.43,1
-0.86,0.55,0
-0.89,0.64,0
0.56,-0.05,1
0.41,-0.20,1
-1.11,-0.18,0
0.29,-0.41,1
-0.41,-0.96,0
0.90,-0.53,0
-0.83,0.39,0
0.75,-0.61,0
0.08,-0.82,0
-0.31,-0.17,1
-0.47,-0.02,1
0.84,-0.54,0
-1.02,0.02,0
0.96,-0.15,0
-0.81,-0.30,0
-0.44,0.11,1
-0.12,0.58,1
0.64,-0.38,0
0.29,0.33,1
0.29,-0.25,1
-0.27,-1.11,0
-0.10,0.91,0
-0.64,-0.73,0
-0.17,-0.31,1
-0.53,-0.85,0
0.40,0.06,1
-0.86,-0.45,0
-0.02,0.38,1
0.34,-0.94,0
0.32,0.35,1
-0.81,-0.46,0
0.33,0.03,1
-0.29,0.22,1
-0.10,0.33,1
0.65,0.86,0
-0.28,-0.94,0
-0.23,-0.02,1
-1.16,-0.05,0
-0.77,-0.53,0
0.18,0.28,1
-0.08,-0.50,1
0.03,-0.81,0
-0.77,-0.61,0
0.68,-0.73,0
-0.44,-0.92,0
-0.40,-0.20,1
0.00,0.32,1
-0.18,-0.53,1
0.44,0.00,1
-0.39,-0.08,1
0.04,0.27,1
0.39,-1.10,0
0.97,0.12,0
-0.22,0.95,0
0.17,-0.14,1
0.38,-0.31,1
-0.42,0.39,1
-0.90,0.73,0
-0.39,-0.01,1
0.81,0.57,0
-0.88,-0.40,0
-0.34,-0.12,1
0.86,0.46,0
0.66,-0.67,0
0.54,-0.28,1
-0.33,0.23,1
0.33,0.15,1
1.04,0.09,0
-0.53,0.96,0
0.10,-0.26,1
0.39,-0.07,1
-0.64,0.77,0
-0.37,-0.32,1
-1.06,-0.45,0
-0.43,0.80,0
0.29,-0.27,1
-0.93,-0.10,0
0.40,0.06,1
-0.07,0.18,1
-0.25,-0.21,1
-0.01,-1.05,0
0.24,-0.86,0
0.94,-0.06,0
0.52,-0.91,0
0.50,-0.30,1
-0.19,-0.35,1
-0.46,-0.97,0
-0.98,-0.56,0
-1.00,0.00,0
-0.14,-0.37,1
0.49,0.21,1
-0.89,-0.34,0
-1.13,0.11,0
0.98,0.14,0
-0.82,-0.22,0
0.43,-0.15,1
-0.25,-0.18,1
-0.41,0.29,1
0.83,-0.26,0
0.22,-0.32,1
0.48,1.08,0
-0.30,0.17,1
-1.14,0.15,0
-0.61,0.49,0
-0.34,1.17,0
-0.44,-0.39,1
-0.39,-0.13,1
-0.87,0.03,0
0.03,0.99,0
-0.63,0.84,0
0.30,0.29,1
0.88,0.04,0
-0.46,0.01,1
-0.26,-0.48,1
-0.87,-0.39,0
-0.59,-0.76,0
0.06,1.05,0
-0.05,-0.22,1
-0.24,0.26,1
-0.23,0.27,1
0.75,0.83,0
-0.97,-0.24,0
-0.85,0.49,0
-0.02,0.42,1
0.12,-0.37,1
0.07,1.07,0
0.28,0.39,1
0.28,-0.01,1
0.22,-0.47,1
0.53,0.89,0
0.89,0.25,0
-0.79,-0.55,0
0.76,0.68,0
0.22,-0.42,1
-0.41,0.03,1
0.78,-0.49,0
0.21,0.45,1
-0.62,-0.76,0
-0.26,-0.08,1
0.30,-0.08,1
-0.52,0.98,0
0.21,-0.03,1
0.88,0.42,0
-1.07,-0.13,0
-0.19,-0.26,1
0.21,0.30,1
-0.16,0.30,1
0.94,0.45,0
-0.89,-0.31,0
0.51,-0.04,1
-0.32,0.08,1
-0.45,-0.08,1
-0.87,-0.45,0
-0.15,0.19,1
0.72,-0.65,0
-0.09,-0.37,1
-0.28,1.00,0
0.26,0.94,0
-0.56,-0.56,0
0.07,0.49,1
0.81,-0.13,0
-0.17,-0.46,1
0.03,1.03,0
0.22,0.39,1
0.40,-0.23,1
0.34,0.19,1
0.37,-1.04,0
0.64,-0.54,0
-0.45,0.93,0
-0.05,0.22,1
0.18,-1.04,0
-0.82,-0.63,0
-0.87,-0.47,0
-0.17,0.98,0
-0.35,-0.27,1
0.30,-0.43,1
