Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Waterfront,View,Condition,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,Price
2,1,630,4800,1,0,0,3,630,0,1918,0,6405000
3,1,1480,7200,1.5,0,0,4,1480,0,1925,0,6300000
2,1,820,6000,1,0,0,3,820,0,1949,2012,6300000
5,2.25,2060,4100,1,0,0,3,1030,1030,1962,0,6300000
3,1.75,1100,9000,1,0,0,3,1100,0,1942,0,6300000
3,2,1700,6400,1,0,0,5,970,730,1945,0,6300000
4,1.75,1680,6600,1,0,0,4,1560,120,1959,0,6293000
2,1,1150,6000,1,0,0,3,1150,0,1950,0,6265000
3,0.75,1040,6600,1,0,0,2,1040,0,1947,0,6230000
3,2.5,1980,5500,2,0,0,3,1980,0,1999,0,6230000
4,2,2750,5500,1,0,0,3,2750,0,2008,0,6195000
3,1,1000,6350,1,0,0,3,1000,0,1962,0,6195000
3,1,1170,5500,1,0,0,3,1170,0,1968,1986,6195000
4,1.5,2060,4500,1.5,0,2,3,1580,480,1920,1990,6160000
2,1,980,5450,1,0,0,4,980,0,1925,0,6160000
4,2.5,2930,6420,2,0,0,3,2760,170,2007,0,6125000
4,4,5320,3240,2,0,0,3,5320,0,2003,0,6107500
4,5,4630,6615,2,0,3,3,4630,0,2005,0,6090000
4,4,4930,6600,2,0,3,3,4930,0,2004,0,6090000
4,3.75,3550,8372,2,0,0,3,3550,0,2004,0,6090000
5,3.5,4380,4300,2,0,0,3,4380,0,2003,0,6083000
5,3.75,4220,9620,2,0,0,3,4220,0,2004,0,6083000
4,3.5,4460,6800,2,0,2,3,4460,0,2001,0,6020000
4,5.25,4140,8000,2,0,2,3,4140,0,2005,0,6020000
4,3.25,4400,6900,2,0,0,3,4400,0,2003,0,6020000
4,3.5,4570,3700,2,0,0,3,4570,0,2002,0,5950000
5,3.5,5050,6420,2,0,2,3,5050,0,2001,0,5950000
5,4.25,4610,7020,2,0,4,3,4610,0,2004,0,5950000
4,4,3010,6540,2,0,0,3,3010,0,2004,0,5950000
4,2.5,3210,7231,2,0,0,3,3210,0,2005,0,5950000
5,2.75,3490,6254,2,0,0,3,3490,0,2005,0,5950000
4,2.5,3230,7320,2,0,0,3,3230,0,2004,0,5950000
4,4,3200,6525,2,0,0,3,3200,0,2004,0,5950000
4,3.75,3320,15600,2,0,0,3,3320,0,2005,0,5943000
4,2.5,4090,7160,2,0,0,3,4090,0,2005,0,5880000
4,3.5,4070,6500,2,0,0,3,4070,0,2004,0,5880000
4,4,3280,5500,2,0,0,3,3280,0,2007,0,5873000
3,3.5,3500,11460,2,0,0,3,3500,0,2008,0,5873000
4,3.5,3560,4800,2,0,0,3,3560,0,2006,0,5866000
4,3.25,3490,5828,2,0,0,3,3490,0,2006,0,5810000
5,3.75,3830,5200,2,0,0,3,3830,0,2005,0,5810000
4,2.5,3880,4800,2,0,0,3,3880,0,2006,0,5810000
4,4,4620,7000,2,0,0,3,4620,0,2014,0,5803000
3,1,1320,6000,1,0,0,3,1320,0,1955,0,5775000
3,2.25,1430,5400,2,0,0,3,1430,0,2010,0,5740000
3,2.5,1520,4640,2,0,0,3,1520,0,2009,0,5740000
3,2.5,1520,5000,2,0,0,3,1520,0,2009,0,5740000
3,2.5,1610,6360,2,0,0,3,1610,0,1994,0,5740000
3,1,1430,5800,1,0,0,3,1430,0,1968,0,5740000
3,1.5,1300,6660,1,0,0,4,900,400,1976,0,5652500
3,1.75,1050,10500,1,0,0,4,1050,0,1975,0,5600000
3,1.75,2070,4800,1,0,0,4,1130,940,1946,0,5600000
3,2.25,1590,4700,2,0,0,4,1590,0,1991,0,5600000
3,1.75,1080,5000,1,0,0,3,1080,0,1981,0,5600000
4,2,1500,10500,1.5,0,0,3,1500,0,1983,0,5600000
3,2.25,1500,5500,1,0,0,3,1150,350,1984,0,5600000
3,2,1540,6360,2,0,0,4,1540,0,1984,0,5600000
3,2.5,1480,6600,1,0,0,3,1180,300,1986,0,5600000
3,2.25,1500,5136,1,0,0,3,1150,350,1984,0,5600000
3,2.5,1850,4400,2,0,0,3,1850,0,1986,0,5565000
3,2,1320,5400,1,0,0,3,1320,0,1986,0,5565000
4,3.5,1850,3300,2,0,0,3,1130,720,1986,0,5530000
3,2.25,1430,3650,2,0,0,3,1430,0,1987,0,5530000
3,2.25,1460,6100,1,0,0,3,1140,320,1986,0,5530000
4,2.5,1750,6900,2,0,0,3,1750,0,1988,0,5523000
4,2,1610,2817,1,0,0,3,1610,0,1989,0,5495000
4,2.5,1990,7980,2,0,0,3,1990,0,1989,0,5495000
3,2.5,1870,3150,2,0,0,3,1870,0,1989,0,5460000
4,2.75,2390,6210,2,0,0,3,2390,0,1989,0,5460000
3,2.5,2450,6100,2,0,0,3,2450,0,1993,0,5460000
3,2,1520,6600,1,0,0,3,1520,0,1993,0,5460000
4,2.5,1940,6825,2,0,0,3,1940,0,1990,0,5425000
4,2.75,2140,6710,2,0,0,4,2140,0,1990,0,5390000
4,3,1990,6450,2,0,0,3,1990,0,1990,0,5383000
4,2.75,2370,7800,2,0,0,3,2370,0,1989,0,5320000
3,1.75,1310,4600,1,0,0,4,1310,0,1948,0,5285000
3,1,1470,4260,1,0,0,3,1070,400,1950,0,5250000
2,1,840,6540,1,0,0,4,840,0,1948,0,5250000
3,1,1410,5500,1,0,0,4,1410,0,1951,0,5250000
4,3.5,2000,10269,3,0,0,3,2000,0,2008,0,5250000
3,1.75,1460,8400,1,0,0,3,1460,0,1965,0,5250000
4,2.5,2300,5300,1,0,0,4,1360,940,1979,0,5250000
3,1.75,1480,3800,1,0,0,4,1480,0,1980,0,5250000
3,1.75,1480,9800,1,0,0,4,1480,0,1980,0,5250000
3,1.75,1850,8520,1,0,0,3,1320,530,1979,0,5250000
4,2.25,1950,6050,2,0,0,4,1950,0,1979,0,5243000
3,2,2330,7085,1,0,0,3,1390,940,1986,0,5229000
5,1.5,1820,3180,1,0,0,5,1090,730,1960,0,5215000
2,1,780,4500,1,0,0,3,780,0,1937,0,5215000
3,2.25,1660,7200,2,0,0,3,1660,0,2001,0,5215000
3,2.5,1620,3410,2,0,0,3,1620,0,2001,0,5145000
5,3.5,2450,7980,2,0,0,3,2450,0,2005,0,5145000
2,2.25,1330,3000,2,0,0,3,1330,0,1985,0,5110000
3,2.25,2160,3000,2,0,0,3,2160,0,1979,0,5110000
3,1.75,1560,11410,1,0,0,5,1560,0,1970,0,5110000
4,2.5,2800,6100,2,0,0,3,2800,0,2003,0,5110000
3,1.5,1480,5720,1,0,0,3,1170,310,1960,0,5075000
3,1,1090,3540,1,0,0,4,1090,0,1950,0,5040000
6,3,3470,7600,1.5,0,0,3,3470,0,1924,0,5040000
2,1,960,10700,1,0,0,3,960,0,1955,0,5040000
3,0.75,1040,6600,1,0,0,3,1040,0,1941,0,5040000
3,1.5,1170,4800,1,0,0,3,1170,0,1963,0,5033000
3,2.5,1720,8150,2,0,0,3,1720,0,1993,0,5005000
3,1.5,2100,4410,1,0,0,4,1220,880,1949,0,4970000
3,1.75,1160,7686,1,0,0,4,1160,0,1976,0,4970000
4,1.75,1370,2800,1,0,0,3,1370,0,1918,0,4956000
5,3.5,4060,5948,2,0,0,3,2960,1100,2001,0,4935000
3,1,1430,4200,1.5,0,0,4,1430,0,1927,0,4907000
3,1,2020,4520,1,0,0,3,1760,260,1949,0,4900000
3,1.75,1560,4095,1,0,0,3,1560,0,1975,0,4900000
4,4.25,1960,4120,2,0,0,3,1960,0,1940,2003,4900000
4,2.25,1920,5400,1.5,0,0,5,1300,620,1923,0,4900000
3,1.75,1660,4770,1,0,0,4,1080,580,1909,0,4900000
3,1.75,1628,6300,1,0,0,3,1628,0,1996,0,4900000
4,3,3620,5800,2,0,2,3,3620,0,1980,0,4900000
3,2.5,2920,3000,2.5,0,0,3,2920,0,1990,0,4900000
2,1,2034,2970,1,1,4,5,1159,875,1947,0,4900000
3,1.5,1470,6720,2,0,0,4,1470,0,1916,0,4900000
3,2.75,3610,4646,1.5,1,3,3,3130,480,1918,1962,4900000
3,1.75,1460,12900,2,1,4,4,1120,340,1970,0,4900000
3,1,1030,3420,1,0,2,3,1030,0,1943,0,4893000
4,1,1200,4995,1,0,0,3,1200,0,1968,0,4893000
3,2.75,2500,4350,1,0,0,3,1580,920,2000,0,4865000
4,2.5,2300,4160,2,0,0,3,2300,0,1988,0,4830000
3,1.75,2020,6040,2,0,0,4,2020,0,1975,0,4830000
3,1.5,1900,6862,1.5,0,0,4,1300,600,1971,0,4830000
2,1,910,4815,1,0,0,3,910,0,1924,0,4830000
4,1,1400,7000,1.5,0,0,4,1400,0,1948,0,4795000
3,2,2190,8100,1,0,0,3,2190,0,1994,0,4795000
4,1,2370,3420,1.5,0,0,4,1570,800,1948,0,4767000
4,2,2100,9166,1,0,0,3,1200,900,1959,0,4760000
2,1,640,6321,1,0,0,3,640,0,1942,0,4760000
4,2.5,1920,10240,2,0,0,2,1920,0,1989,0,4760000
4,1,1910,6440,1.5,0,0,3,1910,0,1934,0,4753000
1,1,620,5170,1,0,0,3,620,0,1939,0,4690000
1,1,620,6000,1,0,0,3,620,0,1939,0,4690000
3,1.75,1260,3630,1,0,0,3,1260,0,1994,0,4690000
2,1,970,9667,1,0,0,3,970,0,1949,0,4690000
4,2.75,2360,5400,1,0,0,3,2360,0,2014,0,4690000
3,1,1300,4320,1,0,0,4,1300,0,1952,0,4690000
2,2,970,3745,1,0,0,5,970,0,1940,0,4655000
4,2.25,1900,4160,1,0,0,3,1370,530,1977,0,4620000
2,1,820,3880,1,0,0,3,820,0,1937,0,4620000
3,2.25,1330,5680,1,0,0,3,900,430,1974,0,4620000
3,1.75,1570,2870,1,0,0,3,1040,530,1979,0,4620000
3,2.5,1970,5010,1,0,0,3,1320,650,1981,0,4620000
3,2.25,2190,4510,1,0,0,4,1330,860,1976,0,4613000
4,2.25,3410,4000,2,0,0,4,2410,1000,1978,0,4585000
3,2,1860,3840,2,0,2,3,1860,0,1998,0,4585000
4,3.25,2730,3760,1,0,0,3,1560,1170,2007,0,4550000
2,1,1430,3640,1,0,0,3,1010,420,1991,0,4550000
4,1,1410,2550,1.5,0,0,5,1410,0,1911,0,4550000
3,1.75,1670,5320,1,0,0,4,1670,0,1976,1992,4550000
2,1,1230,5360,1.5,0,0,3,880,350,1920,0,4550000
3,1.75,1550,3520,1,0,0,3,1050,500,1927,0,4550000
6,4.5,3300,8400,2,0,0,3,3300,0,1980,0,4550000
6,4.5,3300,4100,2,0,0,3,3300,0,1980,0,4543000
6,4.5,3300,4990,2,0,0,3,3300,0,1980,0,4543000
4,3.75,5150,3510,2,0,3,3,4360,790,1997,0,4515000
2,1,1140,3450,1,0,0,4,1140,0,1909,0,4515000
4,1.5,1840,9860,1.5,0,0,4,1840,0,1950,0,4515000
3,2,1520,3520,2,0,0,3,1520,0,1977,2006,4515000
1,1,540,4510,1,0,0,3,540,0,1961,0,4480000
5,1.75,2060,5885,1,0,0,4,1360,700,1954,0,4480000
4,2.75,2300,4000,1,0,0,4,2300,0,1950,0,4480000
5,2.5,2690,8250,1,0,0,3,1790,900,1960,0,4480000
4,2.5,3040,4040,2,0,0,3,3040,0,2008,0,4480000
4,2.25,1800,6360,1,0,0,3,1230,570,1979,0,4473000
3,1.75,1830,3162,1,0,0,3,1830,0,1954,0,4473000
4,2.25,2150,3510,1,0,0,3,1090,1060,1963,0,4473000
3,1.75,1540,3750,1,0,0,3,1540,0,1967,0,4445000
3,1.75,1530,3968,1,0,0,3,1530,0,1986,0,4410000
3,3,1970,4900,1,0,0,3,1970,0,2010,0,4410000
5,3,2200,2880,1,0,0,3,1160,1040,1971,0,4403000
4,2.25,1780,4880,2,0,0,4,1780,0,1964,0,4403000
4,2.5,3170,4920,1,0,0,4,1910,1260,1978,0,4403000
4,1,1020,4950,1.5,0,0,4,1020,0,1922,0,4382000
3,3.5,2690,3900,2,0,0,3,2690,0,1948,1990,4375000
3,1.75,2300,4500,1,0,0,4,1350,950,1979,0,4340000
3,1.75,1880,1905,1,0,0,4,1410,470,1980,0,4340000
3,2.25,3040,4075,1,0,0,3,3040,0,2005,0,4340000
4,1.75,1800,3500,1,0,0,5,900,900,1950,0,4340000
4,2.5,2020,6450,2,0,0,3,2020,0,2002,0,4340000
4,2.75,3160,4032,1,0,0,3,1580,1580,1962,0,4319000
2,1,680,4400,1,0,0,3,680,0,1943,0,4305000
3,1,1620,10360,1.5,0,0,3,1620,0,1928,0,4305000
4,1.75,1990,3400,2,0,0,4,1870,120,1929,0,4277000
5,2.5,2540,6360,2,0,0,3,2540,0,2014,0,4270000
2,2.5,2000,6360,3,0,1,3,1810,190,1994,0,4270000
3,2.5,2100,4500,2,0,4,3,2100,0,1945,0,4270000
4,2.75,2600,2175,2,0,0,5,1960,640,1949,0,4270000
3,1.75,2240,4360,1,0,0,4,1250,990,1950,0,4270000
3,1.5,1790,7770,1.5,0,1,3,1790,0,1910,0,4270000
2,2.5,1830,6650,2,0,0,3,1530,300,2011,0,4235000
2,2.5,2540,2787,2,0,0,3,2540,0,2004,0,4235000
2,1,970,5500,1,0,0,3,970,0,1911,1940,4200000
2,1,940,5040,1,0,0,4,940,0,1911,1955,4200000
4,3.25,4700,5850,1,0,4,3,2520,2180,2005,0,4200000
4,2.75,2440,2610,1.5,0,2,4,1640,800,1941,0,4200000
3,1.75,1660,2953,1,0,0,3,960,700,1941,1996,4200000
4,3.5,3070,2747,2,0,0,3,2030,1040,1922,2007,4200000
3,2.5,2160,4410,2,0,0,3,2160,0,2014,0,4200000
4,2,2850,4000,1.5,0,1,3,1730,1120,1910,0,4200000
5,2,2330,2325,1,0,0,4,1270,1060,1961,0,4200000
3,1,1160,4600,1,0,0,4,1160,0,1957,0,4200000
4,2.5,2105,3640,2,0,0,3,2105,0,2003,0,4200000
3,1,1010,5800,1,0,0,3,1010,0,1957,0,4200000
4,2.5,2140,7000,2,0,0,3,2140,0,2003,0,4200000
4,3.25,2780,4079,2,0,0,3,2780,0,2006,0,4200000
2,1,1000,3520,1,0,0,4,1000,0,1947,0,4200000
3,1,980,2145,1.5,0,0,3,980,0,1946,0,4200000
4,1.5,1810,4500,1,0,0,3,1500,310,1968,0,4200000
5,3.5,3900,8250,2,0,0,3,2650,1250,2014,0,4193000
5,2.75,2720,3450,1.5,0,0,4,1710,1010,1913,0,4193000
3,1,1130,4840,1.5,0,0,4,1130,0,1942,0,4165000
3,3,1370,4080,3,0,0,3,1370,0,2009,0,4165000
3,1.75,1770,4046,2,0,0,3,1770,0,1944,1978,4165000
2,1,600,4632,1,0,0,5,600,0,1922,0,4130000
4,2.5,1680,5985,2,0,0,3,1680,0,2003,0,4130000
3,1.5,1010,6060,1,0,0,3,1010,0,1943,0,4123000
3,1.75,1800,3600,1,0,0,3,1200,600,1961,0,4098500
3,2.5,1190,3680,2,0,0,3,1190,0,2002,0,4095000
3,1,840,4040,1,0,0,3,840,0,1943,0,4095000
3,1.75,1420,5600,1,0,0,3,710,710,1931,2014,4095000
4,3.25,3450,5900,2,0,0,3,3450,0,2008,0,4060000
3,1,1200,4992,1,0,0,3,1200,0,1905,1989,4060000
5,2,2020,4340,1.5,0,0,4,1620,400,1936,0,4060000
4,2,1880,3000,1,0,0,5,980,900,1946,0,4060000
3,1,1780,4320,1,0,0,3,1060,720,1957,0,4060000
4,2,2490,3630,2,0,0,5,2490,0,1968,0,4025000
4,2.5,2250,3460,2,0,0,5,2250,0,1967,0,4025000
4,3.5,2790,5400,1.5,0,0,5,2790,0,1985,0,4025000
4,2.25,2160,4500,1,0,0,3,1080,1080,1961,0,4007500
4,3.5,3500,3460,2,0,0,3,3500,0,1999,0,4007500
4,3.25,3410,4100,2,0,0,3,3410,0,2007,0,3990000
3,2.75,2470,6480,2,0,0,3,2470,0,1960,2012,3990000
5,3.75,3570,4500,2,0,0,3,3570,0,2014,0,3990000
2,1,1050,3960,1,0,0,3,1050,0,1959,0,3990000
4,3.75,3160,4050,2.5,0,0,3,3160,0,1997,0,3990000
5,2.25,2910,7260,2,0,0,4,2910,0,1968,0,3920000
4,2.5,2620,5500,2.5,0,0,4,2620,0,1974,0,3920000
3,1.5,1840,3000,1,0,0,4,1220,620,1959,0,3920000
3,1.75,1480,3290,1,0,0,4,1480,0,1965,0,3920000
3,2.75,2100,3816,2,0,0,3,1510,590,1998,0,3920000
3,1.5,1140,8080,1,0,0,3,840,300,1985,0,3920000
3,1.5,1140,2145,1,0,0,3,840,300,1985,0,3920000
3,1.5,1200,3780,1,0,0,3,1200,0,1985,0,3885000
3,1.75,1510,3180,1,0,0,3,1510,0,1985,0,3885000
3,1.75,1140,5300,1,0,0,3,1140,0,1986,0,3850000
4,2.5,2160,3180,1,0,0,4,1390,770,1976,0,3850000
3,2.5,2070,7152,1,0,0,5,2070,0,1917,0,3850000
3,1.75,1240,4080,1,0,0,3,1240,0,1987,0,3850000
3,1.75,1240,3850,1,0,0,3,1240,0,1987,0,3850000
3,1.75,1170,2015,1,0,0,4,1170,0,1968,0,3850000
4,2.75,2410,2176,1.5,0,0,5,2070,340,1909,0,3850000
3,2,1940,3350,1,0,2,5,970,970,1940,0,3836000
2,1,1000,3150,1,0,2,3,1000,0,1915,0,3815000
4,1,1340,4820,1.5,0,2,3,1340,0,1914,0,3780000
3,2.5,2010,3420,2,0,0,3,2010,0,1994,0,3780000
3,2.75,2930,3600,1,0,0,3,1860,1070,2004,0,3780000
5,2.5,3000,5830,1,0,0,3,1610,1390,2007,0,3780000
3,2.5,1960,2856,2,0,0,3,1960,0,1989,0,3780000
3,2.5,2600,8400,2,0,0,3,2600,0,1988,0,3780000
3,2.5,2620,8250,2,0,0,3,2620,0,1988,0,3773000
3,2.5,2120,2520,2,0,0,3,2120,0,1988,0,3773000
3,2.5,2570,6930,2,0,3,3,2570,0,1989,0,3773000
3,2.5,2660,3480,2,0,0,3,2660,0,1991,0,3745000
4,2.5,2590,3600,2,0,0,3,2590,0,1991,0,3710000
4,2.25,2050,4040,2,0,0,4,2050,0,1984,0,3710000
3,1.75,1450,6020,1,0,0,3,1450,0,1983,0,3710000
3,2.5,1960,4050,2,0,0,4,1960,0,1984,0,3710000
1,0,690,3584,1,0,0,4,690,0,1948,0,3710000
3,3.75,5400,3120,2,0,0,3,5400,0,1997,0,3703000
1,1,530,5450,1,0,0,4,530,0,1949,0,3703000
3,2.5,2620,3630,2,0,0,3,2620,0,1992,0,3675000
4,2.75,3160,3630,2,0,0,3,3160,0,1995,0,3675000
5,2.5,2300,5640,2,0,0,3,2300,0,1994,0,3675000
3,1.75,1820,3600,1,0,0,3,1250,570,1977,0,3675000
2,1,1640,4280,1,0,0,3,840,800,1978,0,3640000
3,2.25,2440,3570,2,0,0,3,2090,350,1991,0,3640000
2,1,1200,3180,2,0,0,2,1200,0,1976,0,3640000
2,2,1540,3000,2,0,0,3,1540,0,1983,0,3640000
4,3.5,3760,3520,2,0,0,3,2950,810,1998,0,3640000
3,2.75,2150,5960,2,0,0,3,2150,0,1996,0,3640000
4,2.5,2690,4130,2,0,0,3,2690,0,1998,0,3640000
4,2.5,2770,2850,2,0,0,3,2770,0,1997,0,3640000
4,2.5,3130,2275,2,0,0,3,3130,0,1996,0,3640000
3,1,1300,3520,1,0,0,3,1300,0,1977,0,3633000
3,2,1810,4500,1,0,0,3,1810,0,1967,0,3605000
3,1.75,1150,4000,1,0,0,5,1150,0,1966,0,3605000
4,2,1980,3150,1,0,0,3,1980,0,1977,0,3570000
3,2,1130,4500,2,0,0,3,1130,0,1996,0,3570000
3,1,1500,4500,1,0,0,3,1000,500,1977,0,3570000
3,2,1680,3640,1,0,0,3,940,740,1996,0,3570000
4,2.5,2450,3850,2,0,0,3,2450,0,1994,0,3535000
4,2.5,3270,4240,2,0,0,3,3270,0,1993,0,3500000
4,2.5,2540,3650,2,0,0,3,2540,0,1996,0,3500000
4,3.5,3920,4600,2,0,0,3,3920,0,1996,0,3500000
3,2.5,2320,2135,2,0,0,3,2320,0,1992,0,3500000
4,2.5,2470,3036,2,0,0,3,2470,0,1993,0,3500000
4,2.5,3200,3990,2,0,0,3,3200,0,1993,0,3500000
4,2.75,2600,7424,1,0,0,4,1300,1300,1960,0,3500000
5,3,3110,3480,2,0,0,3,3110,0,2007,0,3500000
5,2.5,2450,3600,2,0,0,3,2450,0,2007,0,3500000
4,2.5,2430,3640,1,0,0,5,1470,960,1965,0,3500000
3,2.5,2740,5900,2,0,0,4,2740,0,1964,0,3500000
3,2.5,2020,3120,1,0,0,4,1330,690,1958,0,3500000
3,1.5,1730,7350,1,0,0,3,1330,400,1958,0,3500000
4,2.25,2040,3512,1,0,0,3,1400,640,1959,0,3500000
5,2.5,3400,9500,1,0,0,4,1700,1700,1959,0,3500000
3,2.25,1780,5880,1,0,0,3,1350,430,1960,0,3500000
2,2.5,2200,12944,1,0,3,3,2200,0,2007,0,3500000
3,2.5,1970,4900,1,0,4,3,1970,0,1985,0,3493000
3,2.5,2090,3060,2,1,4,3,1550,540,1919,1983,3465000
3,2.5,2120,5320,1,0,0,5,1360,760,1979,0,3465000
2,0.75,1060,2145,1,1,2,5,560,500,1947,0,3465000
2,1.75,1780,4000,1,0,0,4,1780,0,1976,0,3430000
3,3.5,3580,3185,1.5,0,0,3,3580,0,2005,0,3430000
3,3.25,2250,3850,1,0,0,3,2250,0,2005,0,3430000
2,1,1220,2145,1,0,0,4,1220,0,1963,0,3430000
2,2.5,2390,2610,2,0,3,4,1810,580,1949,1982,3430000
